democratic_house_seats,democratic_aligned_senate_seats,open_simulation_count,calibrated_probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
240,51,25,0.00476022,36.041,73.16
241,51,16,0.00238205,34.634,75.471
242,51,23,0.00355054,33.344,77.667
243,51,19,0.00254457,32.172,79.352
244,51,15,0.00239691,31.081,81.336
245,51,21,0.0023693,29.894,83.09
246,51,10,0.00113671,28.81,84.634
247,51,11,0.00217738,27.727,86.286
248,51,10,0.00167895,26.595,87.859
249,51,12,0.00163543,25.502,89.158
250,51,13,0.0010852,24.5,90.497
251,51,15,0.00159282,23.318,91.767
252,51,14,0.00120322,22.318,92.663
253,51,8,0.0008574,20.878,93.513
254,51,8,0.00044313,19.866,94.148
255,51,11,0.00113402,18.526,94.92
256,51,6,0.00046898,17.089,95.518
257,51,7,0.00077273,15.977,96.096
258,51,4,0.00041173,14.778,96.606
259,51,2,0.0001986,13.977,97.064
260,51,6,0.00054982,13.457,97.372
261,51,3,0.00015586,12.76,97.702
262,51,9,0.00084995,12.174,97.888
263,51,1,0.00006114,11.41,98.225
264,51,1,0.00010169,10.983,98.425
265,51,2,0.0001061,10.425,98.568
266,51,2,0.00010616,9.996,98.73
267,51,1,0.00013813,9.499,98.912
268,51,1,0.00006114,9.052,99.149
269,51,3,0.00019781,8.385,99.243
270,51,1,0.00006111,7.955,99.335
273,51,1,0.00010125,6.603,99.577
277,51,2,0.00009,5.148,99.777
280,51,1,0.00004499,4.102,99.822
281,51,2,0.00016372,3.728,99.851
284,51,1,0.00007552,3.021,99.905
195,52,1,0.00001427,85.191,0.152
200,52,1,0.00002393,80.537,0.206
204,52,1,0.00000371,76.635,0.401
205,52,2,0.00001971,75.889,0.473
206,52,1,0.00002373,75.036,0.493
207,52,2,0.00004068,73.773,0.59
208,52,2,0.0000193,72.72,0.719
209,52,4,0.00003017,71.645,0.772
210,52,2,0.00005234,70.685,0.974
211,52,2,0.00002061,69.824,1.225
212,52,8,0.00017238,69.017,1.35
213,52,5,0.00014234,67.548,1.736
214,52,11,0.00020506,66.281,2.158
215,52,12,0.00022323,64.836,2.892
216,52,12,0.00040026,63.307,3.61
217,52,10,0.00019481,62.095,4.468
218,52,21,0.00451335,60.59,5.367
219,52,18,0.00451679,59.016,6.352
220,52,9,0.00196927,57.435,7.425
221,52,13,0.00200736,56.028,8.235
222,52,15,0.00226143,54.775,9.599
223,52,16,0.00228339,53.612,10.727
224,52,14,0.00307694,52.218,12.579
225,52,17,0.00241685,50.737,14.243
226,52,18,0.00339654,49.34,16.125
227,52,25,0.00532307,47.75,18.431
228,52,19,0.00676086,46.015,20.982
229,52,13,0.0017729,44.62,23.11
230,52,25,0.00803404,42.988,25.947
231,52,19,0.00551658,41.315,28.886
232,52,40,0.00885798,39.657,32.234
233,52,23,0.00446085,37.996,34.83
234,52,19,0.00423269,36.491,37.32
235,52,27,0.00761338,35.134,40.515
236,52,26,0.00503231,33.773,44.161
237,52,18,0.00325511,32.462,47.339
